Date,Year,Month,Route,Count
2018-08-08,2018,Aug,Seawall at HMS Discovery,5308.0
2018-08-08,2018,Aug,Seawall at Harbour Green Park,3516.0
2018-08-08,2018,Aug,Seawall at Science World,8334.0
2018-08-08,2018,Aug,Smithe at Expo,1432.0
2018-08-08,2018,Aug,Stephens at Point Grey,1075.0
2018-08-08,2018,Aug,Union at Hawks,4884.0
2018-08-09,2018,Aug,Burrard at Cornwall,7545.0
2018-08-09,2018,Aug,Canada Line Bridge at West Kent,864.0
2018-08-09,2018,Aug,Comox at Thurlow,1115.0
2018-08-09,2018,Aug,Dunsmuir Viaduct,3066.0
2018-08-09,2018,Aug,East 10th at Clark,2497.0
2018-08-09,2018,Aug,Hornby and Robson,3138.0
2018-08-09,2018,Aug,Lions Gate Bridge at Spirit Trail,2339.0
2018-08-09,2018,Aug,Ontario and 11th,2351.0
2018-08-09,2018,Aug,Point Grey at Stephens,3090.0
2018-08-09,2018,Aug,Point Grey at Volunteer Park,3902.0
2018-08-09,2018,Aug,Seawall 2nd Beach Pool,5251.0
2018-08-09,2018,Aug,Seawall at David Lam Park,4835.0
2018-08-09,2018,Aug,Seawall at HMS Discovery,5253.0
2018-08-09,2018,Aug,Seawall at Harbour Green Park,3321.0
2018-08-09,2018,Aug,Seawall at Science World,7951.0
2018-08-09,2018,Aug,Smithe at Expo,1370.0
2018-08-09,2018,Aug,Stephens at Point Grey,999.0
2018-08-09,2018,Aug,Union at Hawks,4804.0
2018-08-10,2018,Aug,Burrard at Cornwall,6779.0
2018-08-10,2018,Aug,Canada Line Bridge at West Kent,695.0
2018-08-10,2018,Aug,Comox at Thurlow,1035.0
2018-08-10,2018,Aug,Dunsmuir Viaduct,2594.0
2018-08-10,2018,Aug,East 10th at Clark,2283.0
2018-08-10,2018,Aug,Hornby and Robson,2917.0
2018-08-10,2018,Aug,Lions Gate Bridge at Spirit Trail,1983.0
2018-08-10,2018,Aug,Ontario and 11th,2039.0
2018-08-10,2018,Aug,Point Grey at Stephens,2668.0
2018-08-10,2018,Aug,Point Grey at Volunteer Park,3347.0
2018-08-10,2018,Aug,Seawall 2nd Beach Pool,5904.0
2018-08-10,2018,Aug,Seawall at David Lam Park,4611.0
2018-08-10,2018,Aug,Seawall at HMS Discovery,5875.0
2018-08-10,2018,Aug,Seawall at Harbour Green Park,3720.0
2018-08-10,2018,Aug,Seawall at Science World,7403.0
2018-08-10,2018,Aug,Smithe at Expo,1229.0
2018-08-10,2018,Aug,Stephens at Point Grey,844.0
2018-08-10,2018,Aug,Union at Hawks,4199.0
2018-08-11,2018,Aug,Burrard at Cornwall,4290.0
2018-08-11,2018,Aug,Canada Line Bridge at West Kent,697.0
2018-08-11,2018,Aug,Comox at Thurlow,673.0
2018-08-11,2018,Aug,Dunsmuir Viaduct,989.0
2018-08-11,2018,Aug,East 10th at Clark,1643.0
2018-08-11,2018,Aug,Hornby and Robson,1310.0
2018-08-11,2018,Aug,Lions Gate Bridge at Spirit Trail,1360.0
2018-08-11,2018,Aug,Ontario and 11th,1294.0
2018-08-11,2018,Aug,Point Grey at Stephens,1988.0
2018-08-11,2018,Aug,Point Grey at Volunteer Park,2373.0
2018-08-11,2018,Aug,Seawall 2nd Beach Pool,4377.0
2018-08-11,2018,Aug,Seawall at David Lam Park,3194.0
2018-08-11,2018,Aug,Seawall at HMS Discovery,4381.0
2018-08-11,2018,Aug,Seawall at Harbour Green Park,2428.0
2018-08-11,2018,Aug,Seawall at Science World,4693.0
2018-08-11,2018,Aug,Smithe at Expo,533.0
2018-08-11,2018,Aug,Stephens at Point Grey,526.0
